campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP099,3982,116,95.60,22,0.029131,4.345455
CMP100,4000,116,95.60,22,0.029000,4.345455
CMP049,3082,90,74.25,17,0.029202,4.367647
CMP050,3100,90,74.25,17,0.029032,4.367647
CMP051,3118,90,74.25,17,0.028865,4.367647
CMP071,3478,101,83.30,19,0.029040,4.384211
CMP001,2218,64,52.90,12,0.028855,4.408333
CMP082,3676,107,88.20,20,0.029108,4.410000
CMP083,3694,107,88.20,20,0.028966,4.410000
CMP084,3712,107,88.20,20,0.028825,4.410000
