campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP022,2596,76,62.75,14,0.029276,4.482143
CMP005,2290,67,55.35,12,0.029258,4.612500
CMP045,3010,88,72.60,15,0.029236,4.840000
CMP085,3730,109,89.85,20,0.029223,4.492500
CMP009,2362,69,57.00,12,0.029213,4.750000
CMP049,3082,90,74.25,17,0.029202,4.367647
CMP089,3802,111,91.50,20,0.029195,4.575000
CMP032,2776,81,66.85,15,0.029179,4.456667
CMP072,3496,102,84.10,19,0.029176,4.426316
CMP013,2434,71,58.65,12,0.029170,4.887500
